***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
Q0494	"Emergency hand pump for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Emr hd pmp elec/combo, rep"
Q0495	"Battery/power pack charger for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Charger elec/combo vad, rep"
Q0496	"Battery, other than lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Battery elec/combo vad, rep"
Q0497	"Battery clips for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Bat clps elec/comb vad, rep"
Q0498	"Holster for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Holster elec/combo vad, rep"
Q0499	"Belt/vest/bag for use to carry external peripheral components of any type ventricular assist device, replacement only"	Belt/vest elec/combo vad rep
Q0500	"Filters for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Filters elec/combo vad, rep"
Q0501	"Shower cover for use with electric or electric/pneumatic ventricular assist device, replacement only"	"Shwr cov elec/combo vad, rep"
Q0502	"Mobility cart for pneumatic ventricular assist device, replacement only"	"Mobility cart pneum vad, rep"
Q0503	"Battery for pneumatic ventricular assist device, replacement only, each"	Battery pneum vad replacemnt
Q0504	"Power adapter for pneumatic ventricular assist device, replacement only, vehicle type"	"Pwr adpt pneum vad, rep veh"
Q0506	"Battery, lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only"	Lith-ion batt elec/pneum vad
Q0507	Miscellaneous supply or accessory for use with an external ventricular assist device	Misc sup/acc ext vad
Q0508	Miscellaneous supply or accessory for use with an implanted ventricular assist device	Mis sup/acc imp vad
Q0509	Miscellaneous supply or accessory for use with any implanted ventricular assist device for which payment was not made under medicare part a	Mis sup/ac imp vad nopay med
Q0510	"Pharmacy supply fee for initial immunosuppressive drug(s), first month following transplant"	Dispens fee immunosupressive
Q0511	"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for the first prescription in a 30-day period"	"Sup fee antiem,antica,immuno"
Q0512	"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for a subsequent prescription in a 30-day period"	Px sup fee anti-can sub pres
Q0513	Pharmacy dispensing fee for inhalation drug(s); per 30 days	Disp fee inhal drugs/30 days
Q0514	Pharmacy dispensing fee for inhalation drug(s); per 90 days	Disp fee inhal drugs/90 days
Q0515	"Injection, sermorelin acetate, 1 microgram"	Sermorelin acetate injection
Q1004	New technology intraocular lens category 4 as defined in federal register notice	Ntiol category 4
Q1005	New technology intraocular lens category 5 as defined in federal register notice	Ntiol category 5
Q2004	"Irrigation solution for treatment of bladder calculi, for example renacidin, per 500 ml"	Bladder calculi irrig sol
Q2009	"Injection, fosphenytoin, 50 mg phenytoin equivalent"	Fosphenytoin inj pe
Q2017	"Injection, teniposide, 50 mg"	"Teniposide, 50 mg"
Q2026	"Injection, radiesse, 0.1 ml"	Radiesse injection
Q2028	"Injection, sculptra, 0.5 mg"	"Inj, sculptra, 0.5mg"
Q2034	"Influenza virus vaccine, split virus, for intramuscular use (agriflu)"	Agriflu vaccine
Q2035	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)"	"Afluria vacc, 3 yrs & >, im"
Q2036	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval)"	"Flulaval vacc, 3 yrs & >, im"
Q2037	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)"	"Fluvirin vacc, 3 yrs & >, im"
Q2038	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)"	"Fluzone vacc, 3 yrs & >, im"
Q2039	"Influenza virus vaccine, not otherwise specified"	"Influenza virus vaccine, nos"
Q2040	"Tisagenlecleucel, up to 250 million car-positive viable t cells, including leukapheresis and dose preparation procedures, per infusion"	Tisagenlecleucel car-pos t
Q2043	"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion"	Sipuleucel-t auto cd54+
Q2049	"Injection, doxorubicin hydrochloride, liposomal, imported lipodox, 10 mg"	Imported lipodox inj
Q2050	"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10 mg"	Doxorubicin inj 10mg
Q2052	"Services, supplies and accessories used in the home under the medicare intravenous immune globulin (ivig) demonstration"	"Ivig demo, services/supplies"
Q3001	"Radioelements for brachytherapy, any type, each"	Brachytherapy radioelements
Q3014	Telehealth originating site facility fee	Telehealth facility fee
Q3027	"Injection, interferon beta-1a, 1 mcg for intramuscular use"	Inj beta interferon im 1 mcg
Q3028	"Injection, interferon beta-1a, 1 mcg for subcutaneous use"	Inj beta interferon sq 1 mcg
Q3031	Collagen skin test	Collagen skin test
Q4001	"Casting supplies, body cast adult, with or without head, plaster"	Cast sup body cast plaster
Q4002	"Cast supplies, body cast adult, with or without head, fiberglass"	Cast sup body cast fiberglas
Q4003	"Cast supplies, shoulder cast, adult (11 years +), plaster"	Cast sup shoulder cast plstr
Q4004	"Cast supplies, shoulder cast, adult (11 years +), fiberglass"	Cast sup shoulder cast fbrgl
Q4005	"Cast supplies, long arm cast, adult (11 years +), plaster"	Cast sup long arm adult plst
Q4006	"Cast supplies, long arm cast, adult (11 years +), fiberglass"	Cast sup long arm adult fbrg
Q4007	"Cast supplies, long arm cast, pediatric (0-10 years), plaster"	Cast sup long arm ped plster
Q4008	"Cast supplies, long arm cast, pediatric (0-10 years), fiberglass"	Cast sup long arm ped fbrgls
Q4009	"Cast supplies, short arm cast, adult (11 years +), plaster"	Cast sup sht arm adult plstr
Q4010	"Cast supplies, short arm cast, adult (11 years +), fiberglass"	Cast sup sht arm adult fbrgl
Q4011	"Cast supplies, short arm cast, pediatric (0-10 years), plaster"	Cast sup sht arm ped plaster
Q4012	"Cast supplies, short arm cast, pediatric (0-10 years), fiberglass"	Cast sup sht arm ped fbrglas
Q4013	"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), plaster"	Cast sup gauntlet plaster
Q4014	"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), fiberglass"	Cast sup gauntlet fiberglass
Q4015	"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), plaster"	Cast sup gauntlet ped plster
Q4016	"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), fiberglass"	Cast sup gauntlet ped fbrgls
Q4017	"Cast supplies, long arm splint, adult (11 years +), plaster"	Cast sup lng arm splint plst
Q4018	"Cast supplies, long arm splint, adult (11 years +), fiberglass"	Cast sup lng arm splint fbrg
Q4019	"Cast supplies, long arm splint, pediatric (0-10 years), plaster"	Cast sup lng arm splnt ped p
Q4020	"Cast supplies, long arm splint, pediatric (0-10 years), fiberglass"	Cast sup lng arm splnt ped f
Q4021	"Cast supplies, short arm splint, adult (11 years +), plaster"	Cast sup sht arm splint plst
Q4022	"Cast supplies, short arm splint, adult (11 years +), fiberglass"	Cast sup sht arm splint fbrg
Q4023	"Cast supplies, short arm splint, pediatric (0-10 years), plaster"	Cast sup sht arm splnt ped p
Q4024	"Cast supplies, short arm splint, pediatric (0-10 years), fiberglass"	Cast sup sht arm splnt ped f
Q4025	"Cast supplies, hip spica (one or both legs), adult (11 years +), plaster"	Cast sup hip spica plaster
Q4026	"Cast supplies, hip spica (one or both legs), adult (11 years +), fiberglass"	Cast sup hip spica fiberglas
Q4027	"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), plaster"	Cast sup hip spica ped plstr
Q4028	"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), fiberglass"	Cast sup hip spica ped fbrgl
Q4029	"Cast supplies, long leg cast, adult (11 years +), plaster"	Cast sup long leg plaster
Q4030	"Cast supplies, long leg cast, adult (11 years +), fiberglass"	Cast sup long leg fiberglass
Q4031	"Cast supplies, long leg cast, pediatric (0-10 years), plaster"	Cast sup lng leg ped plaster
Q4032	"Cast supplies, long leg cast, pediatric (0-10 years), fiberglass"	Cast sup lng leg ped fbrgls
Q4033	"Cast supplies, long leg cylinder cast, adult (11 years +), plaster"	Cast sup lng leg cylinder pl
Q4034	"Cast supplies, long leg cylinder cast, adult (11 years +), fiberglass"	Cast sup lng leg cylinder fb
Q4035	"Cast supplies, long leg cylinder cast, pediatric (0-10 years), plaster"	Cast sup lngleg cylndr ped p
Q4036	"Cast supplies, long leg cylinder cast, pediatric (0-10 years), fiberglass"	Cast sup lngleg cylndr ped f
Q4037	"Cast supplies, short leg cast, adult (11 years +), plaster"	Cast sup shrt leg plaster
Q4038	"Cast supplies, short leg cast, adult (11 years +), fiberglass"	Cast sup shrt leg fiberglass
Q4039	"Cast supplies, short leg cast, pediatric (0-10 years), plaster"	Cast sup shrt leg ped plster
Q4040	"Cast supplies, short leg cast, pediatric (0-10 years), fiberglass"	Cast sup shrt leg ped fbrgls
Q4041	"Cast supplies, long leg splint, adult (11 years +), plaster"	Cast sup lng leg splnt plstr
Q4042	"Cast supplies, long leg splint, adult (11 years +), fiberglass"	Cast sup lng leg splnt fbrgl
Q4043	"Cast supplies, long leg splint, pediatric (0-10 years), plaster"	Cast sup lng leg splnt ped p
Q4044	"Cast supplies, long leg splint, pediatric (0-10 years), fiberglass"	Cast sup lng leg splnt ped f
Q4045	"Cast supplies, short leg splint, adult (11 years +), plaster"	Cast sup sht leg splnt plstr
Q4046	"Cast supplies, short leg splint, adult (11 years +), fiberglass"	Cast sup sht leg splnt fbrgl
Q4047	"Cast supplies, short leg splint, pediatric (0-10 years), plaster"	Cast sup sht leg splnt ped p
Q4048	"Cast supplies, short leg splint, pediatric (0-10 years), fiberglass"	Cast sup sht leg splnt ped f
Q4049	"Finger splint, static"	"Finger splint, static"
Q4050	"Cast supplies, for unlisted types and materials of casts"	Cast supplies unlisted
Q4051	"Splint supplies, miscellaneous (includes thermoplastics, strapping, fasteners, padding and other supplies)"	Splint supplies misc
Q4074	"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 20 micrograms"	Iloprost non-comp unit dose
Q4081	"Injection, epoetin alfa, 100 units (for esrd on dialysis)"	"Epoetin alfa, 100 units esrd"
Q4082	"Drug or biological, not otherwise classified, part b drug competitive acquisition program (cap)"	Drug/bio noc part b drug cap
Q4100	"Skin substitute, not otherwise specified"	"Skin substitute, nos"
Q4101	"Apligraf, per square centimeter"	Apligraf
Q4102	"Oasis wound matrix, per square centimeter"	Oasis wound matrix
Q4103	"Oasis burn matrix, per square centimeter"	Oasis burn matrix
Q4104	"Integra bilayer matrix wound dressing (bmwd), per square centimeter"	Integra bmwd
Q4105	"Integra dermal regeneration template (drt) or integra omnigraft dermal regeneration matrix, per square centimeter"	Integra drt or omnigraft
Q4106	"Dermagraft, per square centimeter"	Dermagraft
Q4107	"Graftjacket, per square centimeter"	Graftjacket
Q4108	"Integra matrix, per square centimeter"	Integra matrix
Q4110	"Primatrix, per square centimeter"	Primatrix
Q4111	"Gammagraft, per square centimeter"	Gammagraft
Q4112	"Cymetra, injectable, 1 cc"	Cymetra injectable
Q4113	"Graftjacket xpress, injectable, 1 cc"	Graftjacket xpress
Q4114	"Integra flowable wound matrix, injectable, 1 cc"	Integra flowable wound matri
Q4115	"Alloskin, per square centimeter"	Alloskin
Q4116	"Alloderm, per square centimeter"	Alloderm
Q4117	"Hyalomatrix, per square centimeter"	Hyalomatrix
Q4118	"Matristem micromatrix, 1 mg"	Matristem micromatrix
Q4119	"Matristem wound matrix, per square centimeter"	Matristem wound matrix
